name,Population_total,region
Maldives,"388,858",South Asia
Iceland,"364,036",Europe
Vanuatu,"318,007",Australia and Oceania
New Caledonia,"304,167",Australia and Oceania
Barbados,"304,139",Central America and the Caribbean
French Polynesia,"303,540",Australia and Oceania
Sao Tome and Principe,"223,561",Africa
Samoa,"208,853",Australia and Oceania
Guam,"169,532",Australia and Oceania
Saint Lucia,"168,038",Central America and the Caribbean
Curacao,"153,289",Central America and the Caribbean
Aruba,"125,063",Central America and the Caribbean
Kiribati,"116,545",Australia and Oceania
Grenada,"114,621",Central America and the Caribbean
Tonga,"104,889",Australia and Oceania
Virgin Islands,"104,377",Central America and the Caribbean
Jersey,"103,387",Europe
Antigua and Barbuda,"102,634",Central America and the Caribbean
Saint Vincent and the Grenadines,"100,647",Central America and the Caribbean
"Micronesia, Federated States of","99,603",Australia and Oceania
Seychelles,"98,187",Africa
Isle of Man,"92,269",Europe
Andorra,"85,370",Europe
Marshall Islands,"82,011",Australia and Oceania
Dominica,"74,661",Central America and the Caribbean
Bermuda,"72,800",North America
Guernsey,"67,787",Europe
Cayman Islands,"66,653",Central America and the Caribbean
Turks and Caicos Islands,"60,439",Central America and the Caribbean
Greenland,"57,751",North America
Saint Kitts and Nevis,"55,133",Central America and the Caribbean
Faroe Islands,"52,933",Europe
Northern Mariana Islands,"51,118",Australia and Oceania
Sint Maarten,"46,215",Central America and the Caribbean
American Samoa,"43,895",Australia and Oceania
Liechtenstein,"40,272",Europe
British Virgin Islands,"40,102",Central America and the Caribbean
San Marino,"35,095",Europe
Saint Martin,"32,996",Central America and the Caribbean
Monaco,"31,813",Europe
Gibraltar,"29,683",Europe
Palau,"21,864",Australia and Oceania
Anguilla,"19,416",Central America and the Caribbean
Wallis and Futuna,"15,964",Australia and Oceania
Tuvalu,"11,733",Australia and Oceania
Nauru,"9,892",Australia and Oceania
"Saint Helena, Ascension, and Tristan da Cunha","7,943",Africa
Cook Islands,"7,761",Australia and Oceania
Saint Barthelemy,"7,086",Central America and the Caribbean
Montserrat,"5,468",Central America and the Caribbean
Saint Pierre and Miquelon,"5,132",North America
Falkland Islands (Islas Malvinas),"3,662",South America
Svalbard,"2,926",Europe
Niue,"2,000",Australia and Oceania
Norfolk Island,"1,748",Australia and Oceania
Christmas Island,"1,692",Australia and Oceania
Tokelau,"1,647",Australia and Oceania
Paracel Islands,"1,440",East and Southeast Asia
Holy See (Vatican City),"1,000",Europe
Cocos (Keeling) Islands,593,Australia and Oceania
Pitcairn Islands,50,Australia and Oceania
